CMDLINE /opt/homebrew/Caskroom/miniforge/base/bin/python3.10 merger_sersic_estim.py
MEM 0.234375 1745294728.3292
MEM 33.000000 1745294728.4343
MEM 50.843750 1745294728.5395
MEM 65.171875 1745294728.6446
MEM 82.015625 1745294728.7497
MEM 95.781250 1745294728.8539
MEM 106.000000 1745294728.9590
MEM 115.281250 1745294729.0641
MEM 133.000000 1745294729.1693
MEM 180.140625 1745294729.2745
MEM 183.171875 1745294729.3796
MEM 199.625000 1745294729.4847
MEM 152.140625 1745294729.5873
MEM 195.859375 1745294729.6924
MEM 196.421875 1745294729.7975
MEM 223.562500 1745294729.9027
MEM 193.078125 1745294730.0040
MEM 208.281250 1745294730.1092
MEM 215.593750 1745294730.2143
MEM 245.640625 1745294730.3195
MEM 200.296875 1745294730.4206
MEM 202.687500 1745294730.5258
MEM 184.578125 1745294730.6310
MEM 205.937500 1745294730.7361
MEM 217.468750 1745294730.8413
MEM 205.453125 1745294730.9464
MEM 210.234375 1745294731.0515
MEM 238.203125 1745294731.1566
MEM 368.031250 1745294731.2618
MEM 612.671875 1745294731.3669
MEM 856.046875 1745294731.4720
MEM 1099.890625 1745294731.5771
MEM 1347.000000 1745294731.6822
MEM 1589.140625 1745294731.7872
MEM 1826.625000 1745294731.8918
MEM 2064.656250 1745294731.9969
MEM 2201.375000 1745294732.1021
MEM 2178.281250 1745294732.2039
MEM 2190.796875 1745294732.3090
MEM 2203.843750 1745294732.4141
MEM 2206.046875 1745294732.5193
MEM 2181.968750 1745294732.6206
MEM 2275.625000 1745294732.7257
MEM 2263.843750 1745294732.8308
MEM 2262.640625 1745294732.9359
MEM 2252.812500 1745294733.0372
MEM 2256.156250 1745294733.1424
MEM 2261.578125 1745294733.2475
MEM 2236.656250 1745294733.3526
MEM 2237.703125 1745294733.4539
MEM 2250.734375 1745294733.5590
MEM 2244.484375 1745294733.6651
MEM 2220.328125 1745294733.7702
MEM 2207.765625 1745294733.8706
MEM 2253.734375 1745294733.9757
MEM 2239.500000 1745294734.0808
MEM 2246.218750 1745294734.1859
MEM 2236.625000 1745294734.2872
MEM 2250.765625 1745294734.3923
MEM 2239.046875 1745294734.4975
MEM 2212.687500 1745294734.6026
MEM 2227.656250 1745294734.7049
MEM 2236.671875 1745294734.8100
MEM 2239.937500 1745294734.9151
MEM 2236.828125 1745294735.0203
MEM 2229.234375 1745294735.1206
MEM 2202.062500 1745294735.2257
MEM 2176.656250 1745294735.3308
MEM 2202.062500 1745294735.4359
MEM 2204.859375 1745294735.5411
MEM 2210.796875 1745294735.6437
MEM 2115.218750 1745294735.7488
MEM 1995.609375 1745294735.8501
MEM 1827.937500 1745294735.9520
MEM 1753.671875 1745294736.0534
MEM 1645.078125 1745294736.1588
MEM 1539.375000 1745294736.2639
MEM 1467.812500 1745294736.3656
MEM 1425.015625 1745294736.4659
MEM 1424.859375 1745294736.5695
MEM 1462.500000 1745294736.6698
MEM 1478.937500 1745294736.7706
MEM 1497.500000 1745294736.8710
MEM 1553.437500 1745294736.9712
MEM 1670.812500 1745294737.0767
MEM 1675.593750 1745294737.1818
MEM 1651.078125 1745294737.2870
MEM 1634.156250 1745294737.3902
MEM 1674.359375 1745294737.4953
MEM 1704.234375 1745294737.5984
MEM 1655.250000 1745294737.7035
MEM 1574.593750 1745294737.8039
MEM 1515.171875 1745294737.9092
MEM 1501.250000 1745294738.0093
MEM 1542.812500 1745294738.1097
MEM 1511.890625 1745294738.2109
MEM 1451.578125 1745294738.3124
MEM 1378.468750 1745294738.4126
MEM 1318.093750 1745294738.5128
MEM 1244.093750 1745294738.6179
MEM 1252.781250 1745294738.7231
MEM 1229.734375 1745294738.8281
MEM 1219.390625 1745294738.9303
MEM 1221.765625 1745294739.0320
MEM 1226.859375 1745294739.1329
MEM 1232.984375 1745294739.2336
MEM 1247.468750 1745294739.3350
MEM 1278.390625 1745294739.4355
MEM 1265.890625 1745294739.5407
MEM 1274.218750 1745294739.6418
MEM 1251.671875 1745294739.7478
MEM 1255.500000 1745294739.8530
MEM 1292.625000 1745294739.9539
MEM 1250.562500 1745294740.0590
MEM 1278.546875 1745294740.1642
MEM 1262.328125 1745294740.2649
MEM 1249.906250 1745294740.3700
MEM 1216.375000 1745294740.4704
MEM 1269.640625 1745294740.5755
MEM 1237.437500 1745294740.6815
MEM 1233.546875 1745294740.7869
MEM 1193.281250 1745294740.8874
MEM 1244.734375 1745294740.9925
MEM 1204.609375 1745294741.0979
MEM 1198.109375 1745294741.2030
MEM 1183.453125 1745294741.3039
MEM 1164.140625 1745294741.4091
MEM 1134.984375 1745294741.5149
MEM 1148.609375 1745294741.6154
MEM 1127.062500 1745294741.7206
MEM 1060.562500 1745294741.8215
MEM 1176.265625 1745294741.9267
MEM 1209.781250 1745294742.0319
MEM 1222.359375 1745294742.1370
MEM 1195.218750 1745294742.2422
MEM 1182.703125 1745294742.3476
MEM 1200.328125 1745294742.4527
MEM 1224.140625 1745294742.5538
MEM 1210.656250 1745294742.6590
MEM 1229.203125 1745294742.7641
MEM 1223.000000 1745294742.8693
MEM 1271.906250 1745294742.9745
MEM 1265.296875 1745294743.0776
MEM 1277.906250 1745294743.1839
MEM 1294.921875 1745294743.2891
MEM 1283.859375 1745294743.3911
MEM 1297.546875 1745294743.4962
MEM 1319.468750 1745294743.6014
MEM 1299.625000 1745294743.7044
MEM 1310.906250 1745294743.8096
MEM 1308.656250 1745294743.9147
